"pathway","pvalue","dist"
"M27487",0.002,0.580270108104825
"M41813",0.253,0.388105578147929
"M41820",0.001,0.664354680322944
"M583",0.001,1.97660699574399
"M41816",0.359,0.388114093762151
"M41817",0.001,0.537123038206706
"M41815",1,0.201503799523576
"M27802",0.006,0.694297127643646
"M29666",0.001,1.0174301926918
"M27162",0.001,1.76068384168616
"M41808",0.309,0.221698426170957
"M27425",0.001,0.552288171839016
"M27583",0.001,3.00191321998672
"M41829",1,Inf
"M41828",1,Inf
"M27877",1,Inf
"M41827",1,0.646921349548947
"M27351",1,Inf
"M27694",1,Inf
"M27539",0.001,1.51966456900817
"M27203",0.001,2.69293723446941
"M26942",0.001,2.13694283337312
"M27768",0.001,2.35810124178282
"M27234",0.001,1.06110146109231
"M27110",0.001,1.18983675787376
"M26923",0.001,1.80388036314576
"M27038",0.001,2.30235941367934
"M27787",1,Inf
"M27783",1,Inf
"M27799",1,Inf
"M27806",1,Inf
"M27803",0.001,1.28342391617959
"M27805",0.003,0.849892419348521
"M27807",1,Inf
"M27817",1,Inf
"M27824",0.001,2.27247263372069
"M27808",0.001,3.04344874921491
"M27821",1,Inf
"M27823",1,Inf
"M27221",0.001,1.30136866227597
"M26956",0.001,0.290837102770696
"M27220",1,Inf
"M39009",0.97,0.104651310199571
"M39006",0.217,0.649891423499571
"M27222",1,Inf
"M27797",0.001,1.33262059879589
"M27150",0.001,1.69051658218822
"M27701",0.001,0.974546597499921
"M1024",0.001,2.37192275728149
"M27325",1,Inf
"M7578",0.001,2.98408164537631
"M41727",0.999,0.458040024035099
"M27585",1,Inf
"M16498",0.001,3.05716294072722
"M18415",0.001,2.18093055268647
"M2243",0.001,1.65568262821624
"M42524",1,Inf
"M27959",1,Inf
"M41824",0.106,0.490164396188612
"M27316",0.001,0.311161661976505
"M41823",0.011,0.38962870864474
"M27041",1,Inf
"M27173",1,Inf
"M29574",0.001,1.08111934918492
"M1921",0.001,0.418627030866146
"M26929",0.001,1.98688815424744
"M27319",0.064,1.30129830957665
"M14236",0.001,2.97337064093664
"M1081",0.209,0.828997012453717
"M925",0.001,2.59892849265699
"M26965",0.001,2.29614436687233
"M29848",0.001,1.67595187639583
"M29843",0.001,0.377766511182511
"M27795",0.001,1.00665000129542
"M1095",0.001,0.717384457485288
"M1662",0.002,1.78656054081814
"M878",0.003,0.824759310400599
"M42517",0.002,1.00176789462881
"M739",0.001,1.56693564503926
"M41826",0.001,1.18056298210247
"M673",0.001,2.03313267257936
"M41835",0.94,0.180562161430703
"M29535",0.001,3.03311664180005
"M563",0.002,1.80381533535308
"M27170",0.69,0.859366829339094
"M42521",0.47,0.195521144725562
"M27636",0.001,0.272074394275784
"M9379",0.013,2.35861741763804
"M544",0.001,0.677290315187543
"M27696",0.001,0.64522668704456
"M38994",1,Inf
"M27534",0.001,2.63124409895636
"M27865",0.001,1.62896567629353
"M41733",0.001,1.96291433235722
"M27550",0.12,0.0742533704143489
"M7923",0.001,0.218334835400887
"M591",0.002,1.41314474544855
"M27039",0.001,0.545768328466195
"M38997",1,Inf
