"pathway","pvalue","dist"
"M17034",0.001,0.0340511797300764
"M39013",1,0.863824489147193
"M27901",0.396,0.221000698556004
"M15195",0.378,0.113339959723405
"M42520",1,0.272370588465135
"M27903",1,0.615683162172446
"M27776",0.001,0.823831919430107
"M41728",0.857,0.225887180672495
"M27740",0.001,1.07153078085436
"M27775",1,1.04653294678931
"M1061",0.001,0.451111031474657
"M27588",1,1.00964877243663
"M27644",1,0.812048101342514
"M27777",1,1.05291670782429
"M27461",0.981,0.28126190964097
"M1011",0.001,0.31868258242086
"M27104",0.74,0.168889978933449
"M27640",0.996,0.0148852276679336
"M27855",1,0.367242166747433
"M27085",0.003,0.323604424848929
"M27382",0.999,0.019410499766635
"M27169",1,0.43841449065745
"M27102",0.677,0.27489378179368
"M29836",0.01,0.00597574410428801
"M18795",0.999,0.326808851814765
"M27081",0.956,0.122507256803171
"M1088",0.055,0.269526003817277
"M27622",1,0.674094876688942
"M18311",1,0.0138877567483818
"M27832",0.05,0.0175419769979762
"M27543",1,0.502349741347668
"M26967",0.588,0.187172109128876
"M41838",1,0.656022063464733
"M27580",0.088,0.301585531293232
"M27424",1,0.35800790319889
"M27216",0.001,0.249778682763663
"M27642",0.001,0.145007756972372
"M914",0.001,0.0884009640675351
"M27442",0.001,0.828473196761389
"M27719",0.001,0.669480896696652
"M27772",0.004,0.162292270447291
"M27816",0.001,0.23692662394103
"M14690",0.016,0.0951000212812722
"M712",0.001,0.360588074313509
"M27609",0.001,0.0337912619854748
"M15096",0.001,0.816145555158536
"M27778",0.761,0.100587440337555
"M27652",0.001,0.147739344086689
"M27251",0.989,0.0269860287699967
"M27661",0.001,0.427876883016091
"M29822",1,0.398188427381798
"M27093",0.993,0.026259847308305
"M27928",1,0.533617606058441
"M27418",0.724,0.155513284216233
"M19582",0.001,0.586634962983931
"M705",0.91,0.00963194864279777
"M27709",1,0.570862090023993
"M27079",1,0.0952886830328279
"M27160",0.159,0.465577252097774
"M27134",0.081,0.0681801372957364
"M26973",1,0.0278007614242619
"M966",1,0.497231906439449
"M853",0.001,0.684188258964433
"M979",0.158,0.320947535072668
"M27954",1,0.863824489147193
"M3492",0.001,0.410519342421897
"M2881",0.001,0.210642889787135
"M27333",1,0.615683162172446
"M7169",0.001,0.251048317793011
"M27011",1,0.555321930065405
"M26997",1,0.388171637273495
"M918",0.01,0.127466476395177
"M27764",0.864,0.503312002510625
"M12347",0.001,0.252653105717476
"M11187",0.002,0.155887123531189
"M27527",0.001,0.431806389339648
"M529",0.999,0.032396600481234
"M41735",1,0.570862090023993
"M27526",0.001,0.396620196481708
"M27529",0.002,0.431806389339648
"M27528",0.001,0.431806389339648
"M16441",0.001,0.140155838909237
"M27944",0.045,0.351837038276862
"M27645",0.001,0.562060765159141
"M27568",0.001,1.02576241686438
"M27654",0.01,0.00789884859234809
"M913",0.173,0.171561980611871
"M27380",1,0.377405693963325
"M26914",1,0.681116031505072
"M27931",1,0.355985944976868
"M875",0.004,0.105416865757377
"M27616",0.849,0.143593906060724
"M985",0.041,0.0920698817661663
"M27942",0.001,0.481649236813973
"M957",0.001,0.885265648213806
"M27094",1,0.416780601925798
"M27089",0.758,0.216384141912707
"M27482",0.001,0.115621930320734
"M915",0.921,0.658945484247769
"M27921",1,Inf
"M4281",0.001,0.199640188555103
"M29793",0.273,0.162119554845981
"M13015",1,0.815731838246464
"M872",0.99,0.0140664324954224
"M27210",0.225,0.425931749738249
"M735",0.65,0.00498444530171084
"M27879",0.464,0.257890034717918
"M977",0.001,0.0778367942930973
"M27159",0.012,1.04381166641995
"M27880",0.001,0.356037333627557
"M752",0.12,0.0122354587736149
"M1059",0.001,0.140423124551939
"M27882",1,0.783890016828453
"M27560",0.001,0.142702467332247
"M27881",0.001,0.835807828741991
"M27378",1,0.432908865370421
"M26999",0.001,0.0267758198293316
"M29809",1,1.01085585786053
"M7257",0.92,0.555608611084255
"M42525",0.976,0.168153792599711
"M27673",0.05,0.0660749861637116
"M27426",0.001,0.135572795583606
"M29777",0.238,0.113776113064058
"M11215",1,0.0312835894280327
"M29790",0.001,0.23135760994676
"M27233",0.004,0.0305780293232538
"M8276",0.637,0.12772694389135
"M571",0.664,0.15835586511989
"M27829",0.741,0.174443051101214
"M27831",0.256,0.196342012055392
"M27859",0.607,0.640445193899496
"M152",0.796,0.0402043721623459
"M6177",0.001,0.364104920741378
"M546",0.004,0.204713160672249
"M7927",0.01,0.444509714862432
"M27385",0.685,0.123484719735917
"M10959",0.485,0.218077343271948
"M27190",0.063,0.143706199606753
"M1441",0.001,0.636918596282743
"M27000",0.001,0.0959081797008581
"M27579",0.557,0.0761272371435124
"M14582",0.005,0.791893961391636
"M18175",0.006,0.495101703965149
"M27626",0.232,0.163626452125991
"M611",0.001,0.109893445553371
"M27674",1,0.0291992288105128
"M27895",0.001,0.0537898835174191
"M11773",0.014,0.551329959117443
"M27416",0.001,0.194656407686967
