pathway,pvalue,dist
M14804,0.001,0.012274423
M1051,0.001,0.209779349
M706,0.946,0.004529377
M877,0.001,0.2082746
M19381,0.001,0.002036028
M27383,0.014,0.212004429
M18437,0.001,0.008009389
M27751,0.55,0.00285882
M518,0.996,0.011774766
M27408,0.001,0.056244996
M27605,0.006,0.143401235
M8240,0.001,0.005897431
M29805,0.001,0.009539834
M27858,0.001,0.379468311
M5113,0.001,0.03636122
M27893,0.025,0.379729408
M27897,0.001,0.270928378
M27894,0.001,0.014317109
M26964,0.001,0.017059354
M715,0.001,0.022421732
M5283,0.001,0.003022558
M27860,0.001,0.384396468
M27381,0.001,0.012099115
M27873,0.001,0.145492759
M29804,0.004,0.007139269
M542,0.001,0.16997016
M27604,0.001,0.143016026
M1014,0.067,0.379729408
M27592,0.001,0.109445738
M760,0.001,0.047571076
M921,0.001,0.380425771
M1870,0.001,0.020872768
M1030,0.001,0.027607647
M4076,0.23,0.004877692
M1012,0.001,0.056417331
M935,0.001,0.379468311
M971,0.046,0.024196066
M27467,0.005,0.010366881
M14766,0.001,0.036273427
M27460,0.001,0.021850665
M27240,0.001,0.210552565
M27464,0.001,0.171684185
M27282,0.001,0.023948795
M27577,0.001,0.209555115
M859,0.001,0.207974907
M1080,0.001,0.023402484
M965,0.062,0.009521086
M690,0.001,0.081287112
M670,0.006,0.123986524
M27706,0.001,0.387800447
M691,0.001,0.2708584
M29844,0.001,0.379207214
M899,0.76,0.005193414
M959,0.001,0.380892746
M997,0.002,0.008207663
M27846,0.001,0.099675362
M42519,0.001,0.390226785
M27936,0.028,0.379729408
M27115,0.001,0.390226785
M27949,0.001,0.27072837
M962,0.001,0.030507649
M26916,0.001,0.098567645
M29766,0.001,0.209203449
M27780,0.001,0.143224488
M27228,0.001,0.384582084
M27680,0.002,0.127739545
M27567,0.003,0.2079045
M7455,0.001,0.011241239
M26896,0.001,0.387800447
M27176,0.001,0.379501561
M39011,0.001,0.276925202
M39012,0.001,0.280495497
M620,0.001,0.037967457
M39013,0.001,0.386822806
M15195,0.001,0.028474263
M42520,0.001,0.148554132
M27901,0.051,0.100429002
M27903,0.001,0.392467506
M41728,0.001,0.060019833
M27776,0.001,0.268349241
M27640,0.001,0.0036832
M27775,0.001,0.384582084
M27740,0.001,0.379501561
M1011,0.001,0.080754249
M27079,0.001,0.024048003
M914,0.001,0.021346931
M1061,0.001,0.123988752
M27644,0.009,0.272064281
M27777,0.02,0.379795909
M27461,0.001,0.111957232
M27382,0.001,0.004608476
M27169,0.002,0.213232024
M29836,0.001,0.001429077
M27102,0.001,0.099461553
M27104,0.052,0.057156522
M27855,0.001,0.126012106
M27085,0.016,0.088335821
M27081,0.012,0.054733849
M27216,0.001,0.06413306
M27622,0.001,0.274874687
M18795,0.013,0.089415492
M1088,0.001,0.081195788
M18311,0.001,0.004441128
M27543,0.433,0.27540885
M27652,0.001,0.037934406
M26967,0.003,0.101249982
M27580,0.001,0.088874093
M27832,0.06,0.004891166
M41838,0.001,0.273354906
M27472,0.61,0.002989945
M27424,0.001,0.1476545
M17034,0.157,0.008726134
M27772,0.001,0.039469096
M27442,0.001,0.268809766
M27719,0.003,0.272333088
M29689,0.001,0.017345479
M27778,0.001,0.024073211
M27816,0.001,0.064045996
M712,0.001,0.110014356
M14690,0.002,0.029935302
M27642,0.001,0.041595353
M29822,0.001,0.280495497
M27661,0.001,0.172267262
M27928,0.19,0.212004429
M15096,0.001,0.388656401
M27418,0.001,0.03950872
M27093,0.001,0.00878986
M27609,0.448,0.008472608
M27709,0.001,0.275989543
M19582,0.001,0.274874807
M705,0.001,0.002316146
M27160,0.003,0.143549109
M27134,0.001,0.017288889
M26973,0.001,0.007568749
M966,0.375,0.145258609
M853,0.001,0.208778043
M979,0.001,0.097987406
M27954,0.001,0.386822806
M3492,0.001,0.109489677
M27333,0.001,0.392467506
M26997,0.492,0.11037257
M26999,0.001,0.006596492
M2881,0.001,0.053062544
M7169,0.001,0.08999978
M27011,0.001,0.274783661
M27764,0.078,0.171173946
M918,0.001,0.032585173
M27650,0.001,0.01416347
M27251,0.609,0.006113731
M12347,0.001,0.068830274
M41735,0.001,0.275989543
M872,0.003,0.003400182
M27526,0.001,0.109454278
M27527,0.001,0.123858425
M27528,0.001,0.123858425
M27568,0.001,0.379951797
M11187,0.001,0.041321453
M27529,0.001,0.123858425
M27233,0.001,0.007373323
M27944,0.001,0.12609942
M27645,0.001,0.169887912
M27380,0.159,0.214353351
M913,0.002,0.04524821
M529,0.002,0.007432939
M27654,0.001,0.001919474
M26914,0.001,0.389063527
M27616,0.001,0.041594093
M985,0.001,0.023466969
M957,0.001,0.384794066
M27446,1,Inf
M27931,0.645,0.110054477
M29793,0.001,0.045503992
M875,0.001,0.028643799
M27094,0.001,0.21424705
M915,0.002,0.209779349
M27921,1,Inf
M4281,0.001,0.09125032
M27089,0.001,0.064295017
M16441,0.001,0.034907612
M13015,0.001,0.388150319
M27210,0.001,0.144151425
M27159,0.001,0.379468311
M27879,0.001,0.07443984
M27882,0.001,0.38869828
M752,0.02,0.003012685
M27560,0.001,0.036459004
M27880,0.001,0.097780566
M27881,0.001,0.268785703
M735,0.001,0.001244207
M29809,0.001,0.380053093
M27378,0.109,0.278799948
M1059,0.001,0.036366248
M7257,0.002,0.171032415
M42525,0.001,0.053800545
M27942,0.01,0.143730615
M29790,0.001,0.059774325
M27000,0.002,0.022903305
M29777,0.001,0.028462397
M11215,0.001,0.008818949
M27426,0.001,0.034969478
M571,0.001,0.050836462
M8276,0.001,0.033860941
M27829,0.001,0.057151319
M27482,0.001,0.02947657
M6177,0.001,0.098238504
M27831,0.001,0.053049271
M152,0.001,0.010127766
M27859,0.001,0.207996985
M977,0.001,0.018679918
M10959,0.001,0.09002277
M27385,0.001,0.061623341
M546,0.001,0.050141576
M27190,0.001,0.036277377
M1441,0.001,0.207753662
M14582,0.002,0.268316801
M27579,0.001,0.019101044
M18175,0.014,0.1431936
M1005,0.001,0.143639381
M27895,0.001,0.013315261
M1074,0.001,0.008091489
M7927,0.001,0.14430488
M27682,0.001,0.123731632
M11773,0.001,0.169270069
M27588,0.001,0.380250879
M29846,0.001,0.267591674
M27416,0.001,0.082460652
M27211,0.001,0.015135975
M27626,0.233,0.041206934
M792,0.001,0.064494117
M27455,0.045,0.175741158
M27835,0.028,0.128386411
M9400,0.001,0.004424706
M611,0.001,0.026958208
M27850,0.001,0.280495497
M27167,0.001,0.381525075
M27186,0.001,0.009778639
M27737,0.001,0.386822806
M27915,0.001,0.207558082
M848,0.001,0.001132247
M714,0.001,0.380053093
M738,0.001,0.017036818
M27822,0.001,0.003054314
M2286,0.002,0.059809657
M777,0.001,0.001403437
M27655,0.029,0.127426695
M649,0.02,0.002366971
M27587,0.001,0.052992537
M27673,0.001,0.016078508
M27462,0.001,0.208267358
M27841,0.001,0.145263399
M29582,0.001,0.007416227
M759,0.003,0.14376489
M27419,0.001,0.088447936
M4138,0.001,0.019869613
M27842,0.001,0.064746257
M12289,0.001,0.110402333
M9450,0.001,0.088994644
M27847,0.001,0.047716273
M26971,0.001,0.20869664
M924,0.002,0.110523472
M919,0.001,0.126252604
M1073,0.001,0.214084042
M18788,0.998,0.0164603
M614,0.001,0.124692164
M27674,0.001,0.007079584
M26985,0.001,0.038560209
M27660,0.001,0.006360863
M27082,0.074,0.215368377
M19135,0.001,0.124034693
M29819,0.001,0.384582084
M27235,0.008,0.268446637
M590,0.001,0.0139141
M916,0.001,0.01849338
M27819,0.001,0.268280964
M552,0.001,0.274114796
M622,0.001,0.207631507
M607,0.001,0.022871967
M27782,0.001,0.065127492
M27562,0.001,0.389063527
M27355,0.001,0.386822806
M39007,0.207,0.010860989
M10735,0.001,0.030390258
M27038,0.001,0.20807919
M27617,0.001,0.025697335
M27218,0.001,0.018728269
M27732,0.01,0.276925202
M27734,0.001,0.088271529
M842,0.001,0.110963148
M10654,0.001,0.385294301
M814,0.001,0.16938933
M27032,0.978,0.021046265
M27689,0.001,0.267876662
M29838,0.001,0.03561491
M27445,0.015,0.070293471
M41805,0.001,0.060443266
M26917,0.001,0.111081502
M17157,0.001,0.043260743
M923,0.001,0.125062928
M41810,0.02,0.001953024
M5485,0.981,0.005983952
M17670,0.016,0.380524605
M27955,0.001,0.275989543
M29526,0.001,0.274498674
M38995,0.001,0.081303428
M27789,0.001,0.173200071
M27932,0.03,0.003979875
M27290,0.001,0.172760772
M27872,1,0.002448576
M4862,0.001,0.385294301
M27326,0.408,0.145891673
M41819,0.001,0.007248993
M2661,0.001,0.381581597
M27572,0.001,0.011822109
M41834,0.001,0.213143298
M27590,0.001,0.169512369
M27771,0.549,0.011763981
M17541,0.001,0.172258266
M41811,0.001,0.007124689
M27348,0.001,0.385294301
M27665,0.001,0.013691211
M27376,0.01,0.2705445
M27945,0.038,0.108907036
M26924,0.001,0.274114796
M14966,0.001,0.390226785
M27212,0.001,0.03259145
M27950,0.001,0.208433788
M27107,0.001,0.004605647
M27229,0.001,0.210286012
M982,0.002,0.268161649
M942,0.005,0.144063076
M27556,0.001,0.028499785
M783,0.001,0.170153041
M27215,0.001,0.004029669
M27557,0.001,0.097774889
M41804,0.001,0.016164138
M27814,0.001,0.26978461
M713,0.001,0.031454367
M27939,0.001,0.379762659
M748,0.795,0.386822806
M537,0.001,0.169431078
M716,0.001,0.207428118
M1029,0.001,0.124739562
M27571,0.001,0.10008325
M27231,0.875,0.003344511
M27788,0.001,0.269917118
M27900,0.002,0.025484506
M903,0.001,0.268797129
M27638,0.001,0.213125722
M27001,0.001,0.02949041
M29583,0.001,0.380541003
M891,0.001,0.014350838
M27646,0.001,0.00223587
M27639,0.001,0.089101103
M26977,0.001,0.209678959
M29565,0.001,0.001525334
M490,0.001,0.024193328
M27402,0.001,0.379501561
M27250,0.001,0.031312006
M41832,0.505,0.035183157
M27641,0.001,0.015028576
M29832,0.001,0.2708584
M27809,0.055,0.097773917
M29824,0.001,0.065421467
M27498,0.001,0.001193384
M27541,0.457,0.1476399
M27779,0.001,0.007547428
M6467,0.001,0.004804383
M724,0.02,0.002917663
M29612,0.001,0.389063527
M27742,0.001,0.010688544
M10122,0.001,0.380112531
M27437,0.001,0.098058576
M671,0.002,0.275989543
M27637,0.001,0.089519505
M29807,0.001,0.143739525
M27490,0.001,0.37950858
M27746,0.001,0.045253426
M29825,0.001,0.169286555
M27551,0.054,0.212216998
M41806,0.001,0.002758402
M27815,0.188,0.033713046
M27285,0.001,0.005511415
M27489,0.001,0.143201447
M27553,0.001,0.059903575
M41734,0.001,0.275989543
M41723,0.002,0.050475077
M27493,0.001,0.143300467
M41818,0.001,0.054450039
M27425,0.001,0.016401678
M41822,0.001,0.029475727
M27494,0.001,0.124171361
M27491,0.001,0.025326379
M41812,0.001,0.019719569
M41814,0.001,0.030264906
M41738,0.001,0.02880611
M41821,0.001,0.392467506
M41813,0.001,0.016151995
M27802,0.01,0.024030199
M41816,0.001,0.015107101
M41817,0.001,0.020138464
M41807,0.001,0.007320664
M41820,0.001,0.037337363
M583,0.008,0.143141545
M41815,0.001,0.007259745
M29666,0.001,0.050629506
M27487,0.001,0.01833261
M27539,0.001,0.110412021
M41808,0.001,0.006979209
M41829,0.001,0.049541732
M676,0.996,0.007769423
M41828,0.008,0.045057683
M27877,0.001,0.2705445
M27351,0.001,0.37858111
M27041,0.001,0.380133539
M776,0.001,0.026859251
M27583,0.001,0.381103699
M41827,0.001,0.044651376
M27162,0.001,0.109205781
M27783,0.001,0.389063527
M26942,0.001,0.169500692
M27768,0.015,0.270767374
M27787,0.154,0.272064281
M26923,0.001,0.17290836
M27110,0.001,0.069544867
M27203,0.001,0.268800791
M27799,0.425,0.174157929
